code,PORTEFEUILLE,TITRE,DESCRIPTION,CLASSE,Quantité_Actif,COURS,Valo_Titre_CV,POIDS,ACTIF_NET_NET
0165122,016,5122,OBLIGATION FT HYPOTHECA du  06/08/2021  12 ANS AMORT,OBL,180,43611.79,7850122.2,0.294562846466088%,2665007584.69
0165172,016,5172,OBLIGATION FT CORPORATE SYNTHETIC FUND  2 ANS,OBL,850,100544.53,85462850.5,3.20685205516746%,2665007584.69
01680047,016,80047,Droit d'attribution AUTO NEJMA Exercice 2000,ACT,1,865.2,865.2,0.0000324651984095813%,2665007584.69
01680129,016,80129,Droit d ' Attribution BOA 1/48  2025,ACT,3,4.35,13.05,0.000000489679657009982%,2665007584.69
0169363,016,9363,OBL OCP PERPET du 14/05/2018 Révis 15 ans à 4.72%,OBL,280,107469.45,30091446,1.12913172078271%,2665007584.69
0169411,016,9411,OBL ONCF du 31/10/19 à 4.02% 30 ANS AMRT LIN 15ans,OBL,297,104064.87,30907266.39,1.15974403103229%,2665007584.69
0169444,016,9444,OBL AL MADA du 11/05/2020 à 3.44%  10 ans,OBL,280,102493.58,28698202.4,1.07685256000269%,2665007584.69
0169523,016,9523,OBL MANAGEM du 21/12/2021 à 3.22% 7 ANS,OBL,350,98933.12,34626592,1.29930557042028%,2665007584.69
0169534,016,9534,"OBL TMSA Participations du 15/03/2022 à 3,70%  15 ans",OBL,1680,99046,166397280,6.24378260519494%,2665007584.69
0169637,016,9637,OBL SUB BMCI  du 24/09/2024 à 4.16% 10ANS  FIXE ,OBL,996,103976.02,103560115.92,3.88592199567966%,2665007584.69
0169647,016,9647,OBL OCP ORD SUB Fixe  DU 16/12/2024  30 ANS ,OBL,76,107089.53,8138804.28,0.305395163854542%,2665007584.69
0169743,016,9743,OBL ORD CMGP du 17/11/2025 à 3.81%  FIXE 7 ANS,OBL,400,99259.29,39703716,1.48981624773193%,2665007584.69
0169753,016,9753,OBL OCP ORD NUTRICROPS DU 15/12/2025 FIXE 30 ANS,OBL,2000,98187.45,196374900,7.36864319366816%,2665007584.69
0171001,017,1001,SONASID,ACT,736,1985,1460960,0.234087037906468%,624109738.44
0171006,017,1006,SMI,ACT,427,5300,2263100,0.36261251196893%,624109738.44
0171035,017,1035,CREDIT EQDOM,ACT,329,1380,454020,0.0727468219186662%,624109738.44
0171036,017,1036,SOCIETE DE BOISSONS DU MAROC,ACT,819,2209,1809171,0.289880270819381%,624109738.44
0171038,017,1038,CDM,ACT,4699,1040,4886960,0.783028960934859%,624109738.44
0171050,017,1050,CIMENTS DU MAROC,ACT,9253,1737,16072461,2.57526201084029%,624109738.44
0171080,017,1080,SAMIR ,ACT,4842,0,0,0%,624109738.44
0171095,017,1095,AFRIQUIA GAZ ,ACT,800,4099,3279200,0.525420418562376%,624109738.44
0171105,017,1105,MANAGEM,ACT,2710,7550,20460500,3.27834974200887%,624109738.44
0171145,017,1145,CIH,ACT,21192,400,8476800,1.35822267750352%,624109738.44
0171148,017,1148,ITISSALAT AL MAGHRIB,ACT,213169,106.85,22777107.65,3.64953569013885%,624109738.44
0171151,017,1151,ADDOHA,ACT,26265,29.9,785323.5,0.12583099599807%,624109738.44
0171172,017,1172,SNEP,ACT,2175,458,996150,0.159611353363903%,624109738.44
0171179,017,1179,CMT,ACT,104,2100,218400,0.0349938458813195%,624109738.44
0171180,017,1180,LABEL VIE,ACT,2625,4280,11235000,1.80016418716403%,624109738.44
0171181,017,1181,ALLIANCES,ACT,6332,498,3153336,0.505253452362713%,624109738.44
0171185,017,1185,DELTA HOLDING,ACT,18467,68,1255756,0.201207563775377%,624109738.44
0171188,017,1188,BCP,ACT,37646,270,10164420,1.6286270464881%,624109738.44
0171208,017,1208,JET CONTRACTORS,ACT,416,2600,1081600,0.173302855793201%,624109738.44
0171224,017,1224,COSUMAR,ACT,39193,202.95,7954219.35,1.27449050384666%,624109738.44
0171226,017,1226,TOTALENERGIES MARKETING MAROC,ACT,3032,1598,4845136,0.776327575357294%,624109738.44
0171231,017,1231,SODEP-MARSA MAROC,ACT,28128,901,25343328,4.06071663988887%,624109738.44
0171239,017,1239,MUTANDIS,ACT,9585,244.85,2346887.25,0.376037594905375%,624109738.44
0171243,017,1243,BANK OF AFRICA,ACT,42831,209,8951679,1.43431170011467%,624109738.44
0171244,017,1244,ATW,ACT,64649,731,47258419,7.57213292619424%,624109738.44
0171246,017,1246,ARADEI CAPITAL,ACT,7452,440,3278880,0.525369145528118%,624109738.44
0171250,017,1250,SOTHEMA,ACT,702,1730,1214460,0.194590778704338%,624109738.44
0171252,017,1252,TGCC,ACT,10255,834.3,8555746.5,1.37087213562564%,624109738.44
0171258,017,1258,AKDITAL,ACT,8347,1119,9340293,1.4965786342874%,624109738.44
0171261,017,1261,HPS (VN 10),ACT,6006,520,3123120,0.500411996102869%,624109738.44
0171271,017,1271,CMGP GROUP,ACT,8324,376,3129824,0.501486166170582%,624109738.44
0171275,017,1275,VICENNE,ACT,2062,420,866040,0.138764058090925%,624109738.44
0171276,017,1276,CASH PLUS,ACT,3026,290,877540,0.140606682759584%,624109738.44
0171278,017,1278,SGTM,ACT,5441,835,4543235,0.727954511870956%,624109738.44
017201344,017,201344,BDT du 19/02/15 à 5.65% ATYP 04/08/14 20 ANS,OBL,465,125359.65,58292237.25,9.34006211723358%,624109738.44
017201535,017,201535,BDT du 04/02/19 ATYP 18/06/19 à 3.35%  10 ans,OBL,30,104068.94,3122068.2,0.500243468048391%,624109738.44
017201552,017,201552,BDT DU 17/06/2020 10 ANS 2.7%,OBL,132,101098.56,13345009.92,2.13824734626905%,624109738.44
017201631,017,201631,BDT du 14/07/2021 ATYP 18/01/2021 à 3.45% 15 ans,OBL,150,97969.4,14695410,2.35461956365752%,624109738.44
017201651,017,201651,BDT du 20/04/2021 ATYP 16/06/2021 à 2.30% 10 ans,OBL,300,98472.67,29541801,4.73343054601928%,624109738.44
017201792,017,201792,BDT du 16/01/2023 atp  a 4.20%  10 ans,OBL,350,110402.31,38640808.5,6.19134843122061%,624109738.44
017201808,017,201808,BDT DU 20/03/2023 à 4.90% 15 ans ,OBL,575,119318.13,68607924.75,10.9929264878144%,624109738.44
017201809,017,201809,BDT DU 20/03/2023 à 5.5 30 ans ,OBL,427,131399.42,56107552.34,8.99001391650196%,624109738.44
017201837,017,201837,BDT du 18/09/2024 à 4%  10 ANS ATYP 02/01/2024,OBL,312,108473.11,33843610.32,5.4227018480106%,624109738.44
017201868,017,201868,BDT du 16/11/2024 à 2.85%  2 ANS,OBL,55,100978.42,5553813.1,0.889877654189805%,624109738.44
017201896,017,201896,BDT du 14/05/2025 à 2.90%   10 ANS ATYP 05/05/2025,OBL,198,100587.91,19916406.18,3.19117055115696%,624109738.44
017201926,017,201926,BDT du 29/09/2025 à 2.25%  2 ans ATYP 17/01/2026,OBL,290,100212.5,29061625,4.65649279446292%,624109738.44
01780129,017,80129,Droit d ' Attribution BOA 1/48  2025,ACT,5,4.35,21.75,0.00000348496404724679%,624109738.44
0179395,017,9395,OBL ANP du 04/06/2019 à 3.91% 15 ans TRANCH B ,OBL,94,61843,5813242,0.931445488181381%,624109738.44
0179647,017,9647,OBL OCP ORD SUB Fixe  DU 16/12/2024  30 ANS ,OBL,114,107089.53,12208206.42,1.95609933126747%,624109738.44
018057,018,057,FCP ATTIJARI DIVIDEND FUND,OPC,1785,1117.24,1994273.4,0.419234753660554%,475693721.14
018068,018,068,FCP ATTIJARI VALEURS ESG,OPC,32995,175.72,5797881.4,1.21882655631976%,475693721.14
018070,018,070,FCP ATTIJARI FIXED INCOME DISTRIBUTION,OPC,302810,108.49,32851856.9,6.90609428715404%,475693721.14
018075,018,075,FCP WG MOMENTUM FACTOR FUND ,OPC,30000,174.67,5240100,1.10157014211626%,475693721.14
0181001,018,1001,SONASID,ACT,1641,1985,3257385,0.684765187186763%,475693721.14
0181035,018,1035,CREDIT EQDOM,ACT,1509,1380,2082420,0.437764870011208%,475693721.14
0181036,018,1036,SOCIETE DE BOISSONS DU MAROC,ACT,150,2209,331350,0.0696561643079753%,475693721.14
0181038,018,1038,CDM,ACT,6787,1040,7058480,1.48382870875074%,475693721.14
0181050,018,1050,CIMENTS DU MAROC,ACT,9012,1737,15653844,3.29074009269779%,475693721.14
0181080,018,1080,SAMIR ,ACT,228,0,0,0%,475693721.14
0181081,018,1081,BMCI,ACT,4248,629,2671992,0.561704281821625%,475693721.14
0181092,018,1092,WAFA ASSURANCE,ACT,5745,4900,28150500,5.91777834118502%,475693721.14
0181095,018,1095,AFRIQUIA GAZ ,ACT,1256,4099,5148344,1.08228126023232%,475693721.14
0181105,018,1105,MANAGEM,ACT,3928,7550,29656400,6.23434758165999%,475693721.14
018112,018,112,ATTIJARI OBLIGATIONS          ,OPC,33000,313.5,10345500,2.17482374482619%,475693721.14
0181145,018,1145,CIH,ACT,21046,400,8418400,1.76971013614081%,475693721.14
0181146,018,1146,RISMA,ACT,3928,370,1453360,0.305524318571417%,475693721.14
0181148,018,1148,ITISSALAT AL MAGHRIB,ACT,214853,106.85,22957043.05,4.82601346828448%,475693721.14
0181151,018,1151,ADDOHA,ACT,181824,29.9,5436537.6,1.14286511643907%,475693721.14
0181171,018,1171,ATLANTASANAD,ACT,7061,135,953235,0.200388392286443%,475693721.14
0181172,018,1172,SNEP,ACT,790,458,361820,0.076061546310281%,475693721.14
0181179,018,1179,CMT,ACT,547,2100,1148700,0.241478907320269%,475693721.14
0181180,018,1180,LABEL VIE,ACT,3339,4280,14290920,3.00422716653729%,475693721.14
0181181,018,1181,ALLIANCES,ACT,10588,498,5272824,1.10844935841568%,475693721.14
0181185,018,1185,DELTA HOLDING,ACT,25121,68,1708228,0.35910249054922%,475693721.14
0181188,018,1188,BCP,ACT,57649,270,15565230,3.27211171984737%,475693721.14
0181208,018,1208,JET CONTRACTORS,ACT,604,2600,1570400,0.330128385179551%,475693721.14
0181220,018,1220,TAQA MOROCCO ,ACT,814,1945,1583230,0.332825498769626%,475693721.14
0181224,018,1224,COSUMAR,ACT,53207,202.95,10798360.65,2.27002379264577%,475693721.14
0181226,018,1226,TOTALENERGIES MARKETING MAROC,ACT,6060,1598,9683880,2.0357384530518%,475693721.14
0181231,018,1231,SODEP-MARSA MAROC,ACT,33170,901,29886170,6.28264966970298%,475693721.14
0181232,018,1232,LAFARGE-HOLCIM MAROC,ACT,9794,1799,17619406,3.70393915601305%,475693721.14
0181239,018,1239,MUTANDIS,ACT,13293,244.85,3254791.05,0.684219888839376%,475693721.14
