code_position,code_fonds,code_titre,description_titre,classe_titre,quantite_actif,cours,valo_titre_cv,actif_net,poids
0051244,005,1244,ATW,ACT,578134,731.000000,422615954.000000,2238908215.730000,0.1887598388
0051252,005,1252,TGCC,ACT,122103,834.300000,101870532.900000,2238908215.730000,0.0455000934
0051258,005,1258,AKDITAL,ACT,72813,1119.000000,81477747.000000,2238908215.730000,0.0363917317
0051271,005,1271,CMGP GROUP,ACT,50977,376.000000,19167352.000000,2238908215.730000,0.0085610262
0051275,005,1275,VICENNE,ACT,2062,420.000000,866040.000000,2238908215.730000,0.0003868135
0051278,005,1278,SGTM,ACT,62095,835.000000,51849325.000000,2238908215.730000,0.0231583075
00580129,005,80129,Droit d ' Attribution BOA 1/48  2025,ACT,29,4.350000,126.150000,2238908215.730000,0.0000000563
005XS2080771806,005,XS2080771806,EUROBOND DU 27/11/2019 11 ans (2031),OBL,11330,1003.040000,11364443.200000,2238908215.730000,0.0050758861
0081001,008,1001,SONASID,ACT,6716,1985.000000,13331260.000000,604148419.590000,0.0220662002
0081006,008,1006,SMI,ACT,1341,5300.000000,7107300.000000,604148419.590000,0.0117641622
0081034,008,1034,CTM SA,ACT,610,880.000000,536800.000000,604148419.590000,0.0008885234
0081050,008,1050,CIMENTS DU MAROC,ACT,21570,1737.000000,37467090.000000,604148419.590000,0.0620163668
0081080,008,1080,SAMIR,ACT,6706,0.000000,0.000000,604148419.590000,0.0000000000
0081095,008,1095,AFRIQUIA GAZ,ACT,2475,4099.000000,10145025.000000,604148419.590000,0.0167922727
0081096,008,1096,AUTO-HALL,ACT,57550,90.210000,5191585.500000,604148419.590000,0.0085932286
0081105,008,1105,MANAGEM,ACT,7151,7550.000000,53990050.000000,604148419.590000,0.0893655404
0081142,008,1142,DARI,ACT,2142,4300.000000,9210600.000000,604148419.590000,0.0152455915
0081148,008,1148,ITISSALAT AL MAGHRIB,ACT,446710,106.850000,47730963.500000,604148419.590000,0.0790053602
0081151,008,1151,ADDOHA,ACT,478633,29.900000,14311126.700000,604148419.590000,0.0236880976
0081163,008,1163,DISWAY,ACT,21058,880.000000,18531040.000000,604148419.590000,0.0306729926
0081172,008,1172,SNEP,ACT,2778,458.000000,1272324.000000,604148419.590000,0.0021059792
